382-Bursa-208-Turkey-0-0- -
385-Adana-208-Turkey-0-0- -
388-Antalya-208-Turkey-0-0- -
391-Izmit-208-Turkey-0-0- -
394-Konya-208-Turkey-0-0- -
397-Gaziantep-208-Turkey-0-0- -
400-Bodrum-208-Turkey-0-0- -
403-Eskisehir-208-Turkey-0-0- -
406-Bozcaada-208-Turkey-0-0- -
409-Hartbeespoort-189-South Africa-0-0- -
412-AK-216-United States-1-69-Alaska-AK
415-Anchorage, AK-216-United States-0-69-Alaska-AK
1210-Victoria, TX-216-United States-0-111-Texas-TX
1213-Salt Lake City, UT-216-United States-0-112-Utah-UT
1216-UT-216-United States-1-112-Utah-UT
1219-Richmond, VA-216-United States-0-113-Virginia-VA
1222-Lynchburg, VA-216-United States-0-113-Virginia-VA
1225-Roanoke, VA-216-United States-0-113-Virginia-VA
1228-Hampton Roads, VA-216-United States-0-113-Virginia-VA
1231-VA-216-United States-1-113-Virginia-VA
1234-Charlottesville, VA-216-United States-0-113-Virginia-VA
1237-VT-216-United States-1-114-Vermont-VT
1240-Spokane, WA-216-United States-0-115-Washington State-WA
1243-WA-216-United States-1-115-Washington State-WA
1246-Yakima, WA-216-United States-0-115-Washington State-WA
1249-Olympia, WA-216-United States-0-115-Washington State-WA
1252-Bellingham, WA-216-United States-0-115-Washington State-WA
1255-La Crosse, WI-216-United States-0-116-Wisconsin-WI
1258-Oshkosh, WI-216-United States-0-116-Wisconsin-WI
1261-Eau Claire, WI-216-United States-0-116-Wisconsin-WI
1264-Madison, WI-216-United States-0-116-Wisconsin-WI
1267-Milwaukee, WI-216-United States-0-116-Wisconsin-WI
1270-Sheboygan, WI-216-United States-0-116-Wisconsin-WI
1273-Green Bay, WI-216-United States-0-116-Wisconsin-WI
1276-Charleston, WV-216-United States-0-117-West Virginia-WV
1279-Huntington, WV-216-United States-0-117-West Virginia-WV
1282-WV-216-United States-1-117-West Virginia-WV
1285-Morgantown, WV-216-United States-0-117-West Virginia-WV
1288-WY-216-United States-1-118-Wyoming-WY
1291-Cheyenne, WY-216-United States-0-118-Wyoming-WY
1294-Casper, WY-216-United States-0-118-Wyoming-WY
1295-Palmerston City, NT-14-Australia-0-129-Northern Territory-NT
1296-Coconut Grove, NT-14-Australia-0-129-Northern Territory-NT
1297-The Gardens, Darwin, NT-14-Australia-0-129-Northern Territory-NT
1298-Parap, NT-14-Australia-0-129-Northern Territory-NT
1299-Winnellie , NT-14-Australia-0-129-Northern Territory-NT
1300-Palmerston, NT-14-Australia-0-129-Northern Territory-NT
1301-Millner, NT-14-Australia-0-129-Northern Territory-NT
1302-Jabiru, NT-14-Australia-0-129-Northern Territory-NT
1303-Jingili, NT-14-Australia-0-129-Northern Territory-NT
1304-Darwin International Airport, NT-14-Australia-0-129-Northern Territory-NT
1305-Marrara, NT-14-Australia-0-129-Northern Territory-NT
1306-Rapid Creek, NT-14-Australia-0-129-Northern Territory-NT
1307-Batchelor, NT-14-Australia-0-129-Northern Territory-NT
1308-Berry Springs, NT-14-Australia-0-129-Northern Territory-NT
1309-Casuarina , NT-14-Australia-0-129-Northern Territory-NT
1310-Anula, NT-14-Australia-0-129-Northern Territory-NT
1311-Adelaide River, NT-14-Australia-0-129-Northern Territory-NT
1312-Karama, NT-14-Australia-0-129-Northern Territory-NT
1313-Larrakeyah, NT-14-Australia-0-129-Northern Territory-NT
1314-Leanyer , NT-14-Australia-0-129-Northern Territory-NT
1315-The Gardens, NT-14-Australia-0-129-Northern Territory-NT
1316-Stuart Park, NT-14-Australia-0-129-Northern Territory-NT
1317-Yarrawonga, NT-14-Australia-0-129-Northern Territory-NT
1318-Berrimah, NT-14-Australia-0-129-Northern Territory-NT
1319-Durack, NT-14-Australia-0-129-Northern Territory-NT
1320-Nightcliff, NT-14-Australia-0-129-Northern Territory-NT
1321-Fannie Bay, NT-14-Australia-0-129-Northern Territory-NT
1322-East Point NT-14-Australia-0-129-Northern Territory-NT
1323-Darwin, NT-14-Australia-0-129-Northern Territory-NT
1324-Mindil Beach, NT-14-Australia-0-129-Northern Territory-NT
1325-Coolalinga, NT-14-Australia-0-129-Northern Territory-NT
1326-Daly River, NT-14-Australia-0-129-Northern Territory-NT
1327-Katherine, NT-14-Australia-0-129-Northern Territory-NT
1328-Pine Creek, NT-14-Australia-0-129-Northern Territory-NT
1329-Tennant Creek, NT-14-Australia-0-129-Northern Territory-NT
1330-Alice Springs, NT-14-Australia-0-129-Northern Territory-NT
1331-Desert Springs, NT-14-Australia-0-129-Northern Territory-NT
1332-Yulara, NT-14-Australia-0-129-Northern Territory-NT
1333-East Side NT-14-Australia-0-129-Northern Territory-NT
1334-Lucknow, VIC-14-Australia-0-132-Victoria-VIC
1335-Bunyip, VIC-14-Australia-0-132-Victoria-VIC
1336-Korumburra, VIC-14-Australia-0-132-Victoria-VIC
1337-Stratford, VIC-14-Australia-0-132-Victoria-VIC
1338-Erica, VIC-14-Australia-0-132-Victoria-VIC
1339-Cann River, VIC-14-Australia-0-132-Victoria-VIC
1340-Archies Creek, VIC-14-Australia-0-132-Victoria-VIC
1341-Bass, VIC-14-Australia-0-132-Victoria-VIC
1342-Inverloch, VIC-14-Australia-0-132-Victoria-VIC
1343-Loch, VIC-14-Australia-0-132-Victoria-VIC
1344-Kardella South, VIC-14-Australia-0-132-Victoria-VIC
1345-Phillip Island, VIC-14-Australia-0-132-Victoria-VIC
1346-Sale, VIC-14-Australia-0-132-Victoria-VIC
1347-Mallacoota, VIC-14-Australia-0-132-Victoria-VIC
1348-Willung South, VIC-14-Australia-0-132-Victoria-VIC
1349-Newborough, VIC-14-Australia-0-132-Victoria-VIC
1350-Metung, VIC-14-Australia-0-132-Victoria-VIC
1351-Foster, VIC-14-Australia-0-132-Victoria-VIC
1352-Lake Tyers Beach, VIC-14-Australia-0-132-Victoria-VIC
1353-Paynesville, VIC-14-Australia-0-132-Victoria-VIC
1354-Toora, VIC-14-Australia-0-132-Victoria-VIC
1355-Woodside, VIC-14-Australia-0-132-Victoria-VIC
1356-Tambo Upper, VIC-14-Australia-0-132-Victoria-VIC
1357-Mirboo North, VIC-14-Australia-0-132-Victoria-VIC
1358-Port Albert, VIC-14-Australia-0-132-Victoria-VIC
1359-Leongatha, VIC-14-Australia-0-132-Victoria-VIC
1360-San Remo, VIC-14-Australia-0-132-Victoria-VIC
1361-Bairnsdale, VIC-14-Australia-0-132-Victoria-VIC
1362-The Gurdies, VIC-14-Australia-0-132-Victoria-VIC
1363-Koonwarra, VIC-14-Australia-0-132-Victoria-VIC
1364-Lakes Entrance, VIC-14-Australia-0-132-Victoria-VIC
1365-Tarwin Lower, VIC-14-Australia-0-132-Victoria-VIC
1366-Dalyston, VIC-14-Australia-0-132-Victoria-VIC
1367-Meeniyan, VIC-14-Australia-0-132-Victoria-VIC
1368-Drouin, VIC-14-Australia-0-132-Victoria-VIC
1369-Woolamai, VIC-14-Australia-0-132-Victoria-VIC
1370-Fish Creek, VIC-14-Australia-0-132-Victoria-VIC
1371-Venus Bay, VIC-14-Australia-0-132-Victoria-VIC
1372-Yinnar, VIC-14-Australia-0-132-Victoria-VIC
1373-Tooradin, VIC-14-Australia-0-132-Victoria-VIC
1374-Maffra, VIC-14-Australia-0-132-Victoria-VIC
1375-Nowa Nowa, VIC-14-Australia-0-132-Victoria-VIC
1376-Noojee, VIC-14-Australia-0-132-Victoria-VIC
1377-Koo Wee Rup, VIC-14-Australia-0-132-Victoria-VIC
1378-Labertouche, VIC-14-Australia-0-132-Victoria-VIC
1379-Orbost, VIC-14-Australia-0-132-Victoria-VIC
1380-Warragul, VIC-14-Australia-0-132-Victoria-VIC
1381-Kilcunda, VIC-14-Australia-0-132-Victoria-VIC
1382-Trafalgar, VIC-14-Australia-0-132-Victoria-VIC
1383-Buchan, VIC-14-Australia-0-132-Victoria-VIC
1384-Traralgon, VIC-14-Australia-0-132-Victoria-VIC
1385-Jindivick, VIC-14-Australia-0-132-Victoria-VIC
1386-Moe, VIC-14-Australia-0-132-Victoria-VIC
1387-Bruthen, VIC-14-Australia-0-132-Victoria-VIC
1388-Glengarry, VIC-14-Australia-0-132-Victoria-VIC
1389-Wonthaggi, VIC-14-Australia-0-132-Victoria-VIC
1390-Neerim South, VIC-14-Australia-0-132-Victoria-VIC
1391-Grantville, VIC-14-Australia-0-132-Victoria-VIC
1392-Tinamba, VIC-14-Australia-0-132-Victoria-VIC
1393-Cape Paterson, VIC-14-Australia-0-132-Victoria-VIC
1394-Lindenow, VIC-14-Australia-0-132-Victoria-VIC
1395-Corinella, VIC-14-Australia-0-132-Victoria-VIC
1396-Heyfield, VIC-14-Australia-0-132-Victoria-VIC
1397-Neutral Bay, VIC-14-Australia-0-132-Victoria-VIC
1398-Cowwarr, VIC-14-Australia-0-132-Victoria-VIC
1399-Darnum, VIC-14-Australia-0-132-Victoria-VIC
